indicator,estimateTotal,estimateCapital,estimateOther_Urban,estimateRural,estimateFemale_HH,estimateMale_HH,estimateYouth_HH,estimateOlder_HH,estimateQ1,estimateQ2,estimateQ3,estimateQ4,estimateQ5
Non-wage employed (% of employed),0.78000000000000003,0.91000000000000003,0.52000000000000002,0.91000000000000003,0.85999999999999999,0.69000000000000006,0.79000000000000004,0.76000000000000001,0.90000000000000002,0.84999999999999998,0.79000000000000004,0.73999999999999999,0.59999999999999998
Number of employees in HE,0.22,0,0.28999999999999998,0,0.059999999999999998,0.26000000000000001,0.40000000000000002,0.19,0,0,0,0.23999999999999999,0.41000000000000003
Number poor $3.00/day (millions),0.70000000000000007,0.11,0.080000000000000002,0.60999999999999999,0.070000000000000007,0.62,0.10000000000000001,0.59999999999999998,0.35000000000000003,0.29999999999999999,0.050000000000000003,0,0
Number poor $4.20/day (millions),1.0900000000000001,0.17000000000000001,0.22,0.84999999999999998,0.14999999999999999,0.94000000000000006,0.14999999999999999,0.94000000000000006,0.35000000000000003,0.35000000000000003,0.29999999999999999,0.089999999999999997,0
Own-production food share (% total cons.),0.10000000000000001,0.22,0.01,0.17000000000000001,0.050000000000000003,0.12,0.11,0.10000000000000001,0.16,0.13,0.11,0.080000000000000002,0.040000000000000001
Owns ceiling fan,0.02,0,0.050000000000000003,0,0.029999999999999999,0.02,0.029999999999999999,0.02,0,0,0.01,0.029999999999999999,0.070000000000000007
Owns wall AC/split,0.01,0,0.02,0,0,0.01,0,0.01,0,0,0,0,0.040000000000000001
Owns water heater,0.02,0,0.050000000000000003,0,0.050000000000000003,0.02,0.029999999999999999,0.02,0,0.01,0.01,0.01,0.080000000000000002
Poor at $3.00/day (2021 PPP),0.40000000000000002,0.52000000000000002,0.11,0.59999999999999998,0.22,0.44,0.40000000000000002,0.40000000000000002,1,0.83999999999999997,0.14999999999999999,0,0
Poor at $4.20/day (2021 PPP),0.62,0.79000000000000004,0.31,0.83999999999999997,0.44,0.66000000000000003,0.60999999999999999,0.62,1,1,0.84999999999999998,0.26000000000000001,0
Prepaid meter (among grid-connected),0.60999999999999999,0,0.60999999999999999,0.44,0.54000000000000004,0.64000000000000001,0.70999999999999996,0.58999999999999997,0.55000000000000004,0.51000000000000001,0.60999999999999999,0.58999999999999997,0.63
Primary cooking fuel biomass (wood/charcoal),0.97999999999999998,0.98999999999999999,0.95000000000000007,1,0.96999999999999997,0.97999999999999998,0.97999999999999998,0.97999999999999998,0.98999999999999999,1,0.98999999999999999,0.97999999999999998,0.93000000000000005
Primary cooking fuel clean (gas/electricity),0.02,0,0.040000000000000001,0,0.02,0.02,0.02,0.02,0,0,0.01,0.02,0.059999999999999998
Proxy: owns gas/electric cooker (cuisin),0.040000000000000001,0.01,0.10000000000000001,0,0.070000000000000007,0.040000000000000001,0.029999999999999999,0.050000000000000003,0,0.01,0.01,0.040000000000000001,0.16
Safe drinking water – dry season,0.75,0.57999999999999996,0.90000000000000002,0.64000000000000001,0.82000000000000006,0.72999999999999998,0.72999999999999998,0.75,0.64000000000000001,0.69000000000000006,0.72999999999999998,0.79000000000000004,0.88
Sanitary toilet facility,0.25,0.089999999999999997,0.48999999999999999,0.089999999999999997,0.37,0.22,0.25,0.25,0.10000000000000001,0.11,0.23000000000000001,0.29999999999999999,0.53000000000000003
Share of HH workers in trade/commerce,0.13,0.059999999999999998,0.25,0.040000000000000001,0.20999999999999999,0.11,0.14000000000000001,0.13,0.059999999999999998,0.10000000000000001,0.14000000000000001,0.17000000000000001,0.20000000000000001
Share of HH workers in transport,0.029999999999999999,0.01,0.059999999999999998,0.01,0.040000000000000001,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.01,0.029999999999999999,0.029999999999999999,0.040000000000000001,0.050000000000000003
Share of HH workers informally employed,0.73999999999999999,0.89000000000000001,0.51000000000000001,0.90000000000000002,0.65000000000000002,0.76000000000000001,0.75,0.73999999999999999,0.88,0.82000000000000006,0.75,0.69000000000000006,0.55000000000000004
Tropical Livestock Units (TLU),2.4100000000000001,2.1600000000000001,0.37,3.8900000000000001,0.79000000000000004,2.8000000000000003,1.7,2.52,4.3600000000000003,2.96,2.1099999999999999,1.7,0.91000000000000003
Uses grid electricity,0.26000000000000001,0.01,0.60999999999999999,0.01,0.42999999999999999,0.22,0.25,0.26000000000000001,0.029999999999999999,0.11,0.20999999999999999,0.35000000000000003,0.58999999999999997
Uses solar/generator electricity,0.47000000000000003,0.66000000000000003,0.17999999999999999,0.67000000000000004,0.28000000000000003,0.51000000000000001,0.47999999999999998,0.46000000000000002,0.67000000000000004,0.56000000000000005,0.5,0.37,0.23999999999999999
Wage-employed (% of employed),0.22,0.089999999999999997,0.47999999999999998,0.089999999999999997,0.14000000000000001,0.31,0.20999999999999999,0.23999999999999999,0.10000000000000001,0.14999999999999999,0.20999999999999999,0.26000000000000001,0.40000000000000002
wood_dist [ALL MISSING],,,,,,,,,,,,,
≥1 HH member has health coverage (proxy social protection),0.01,0,0.02,0,0.01,0.01,0,0.01,0,0,0,0,0.029999999999999999
