indicator,estimateDAKAR,estimateDIOURBEL,estimateFATICK,estimateKAFFRINE,estimateKAOLACK,estimateKEDOUGOU,estimateKOLDA,estimateLOUGA,estimateMATAM,estimateSAINT_LOUIS,estimateSEDHIOU,estimateTAMBACOUNDA,estimateTHIES,estimateZIGUINCHOR
Food consumption share,0.28999999999999998,0.44,0.47000000000000003,0.48999999999999999,0.46000000000000002,0.42999999999999999,0.47000000000000003,0.51000000000000001,0.54000000000000004,0.51000000000000001,0.48999999999999999,0.48999999999999999,0.41999999999999998,0.42999999999999999
HE age (years),10.19,6.04,10.49,12.390000000000001,5.3300000000000001,11.19,8.8499999999999996,9.2200000000000006,9.2200000000000006,5.2599999999999998,8.3900000000000006,5.29,6.8200000000000003,11.77
HE buys from firms/state,0.26000000000000001,0.17000000000000001,0.26000000000000001,0.16,0.089999999999999997,0.41999999999999998,0.13,0.14999999999999999,0.17000000000000001,0.27000000000000002,0.31,0.10000000000000001,0.050000000000000003,0.38
HE capital stock (FCFA),5177441.29,147306.20000000001,154177.80000000002,182944.64000000001,5870785.5200000005,90746.900000000009,104860.64,536372.67000000004,200928.5,1010611.04,95386.290000000008,82696.860000000001,111283.60000000001,240756.45000000001
HE costs (FCFA),130599.43000000001,19474.369999999999,24210.720000000001,22521.010000000002,41398.480000000003,31642.760000000002,28674.190000000002,168610.79000000001,33061.340000000004,30126.459999999999,33331.099999999999,118722.75,35601.129999999997,56942.120000000003
HE has any credit access,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HE has electricity,0.85999999999999999,1,0.78000000000000003,1,1,0.79000000000000004,1,1,1,1,1,1,1,0.68000000000000005
HE has formal credit access,0.78000000000000003,0.92000000000000004,0.89000000000000001,0.85999999999999999,0.75,0.89000000000000001,0.71999999999999997,0.71999999999999997,0.95000000000000007,0.83999999999999997,0.83000000000000007,0.81000000000000005,0.80000000000000004,0.87
HE has formal premises,0.44,0.17999999999999999,0.19,0.14999999999999999,0.27000000000000002,0.20000000000000001,0.10000000000000001,0.20999999999999999,0.080000000000000002,0.17000000000000001,0.16,0.14000000000000001,0.20999999999999999,0.10000000000000001
HE has informal credit access,0.23999999999999999,0.089999999999999997,0.31,0.20999999999999999,0.28999999999999998,0.32000000000000001,0.32000000000000001,0.35000000000000003,0.10000000000000001,0.23999999999999999,0.25,0.27000000000000002,0.37,0.28000000000000003
HE has phone,1,1,0.97999999999999998,1,1,1,1,1,1,1,1,1,1,0.96999999999999997
HE has tax ID,0.040000000000000001,0.20999999999999999,0.059999999999999998,0,0.13,0,0.12,0.050000000000000003,0.050000000000000003,0.10000000000000001,0.040000000000000001,0.16,0.10000000000000001,0.10000000000000001
HE has water,0.48999999999999999,0.089999999999999997,0.14000000000000001,0.12,0.5,0.41999999999999998,0,0.22,1,0.27000000000000002,0.26000000000000001,0.29999999999999999,0.22,0.23000000000000001
HE keeps accounts,0.02,0.059999999999999998,0.029999999999999999,0,0.13,0.080000000000000002,0.080000000000000002,0,0.050000000000000003,0.050000000000000003,0,0,0,0.070000000000000007
HE operates from home,0.28000000000000003,0.41999999999999998,0.53000000000000003,0.42999999999999999,0.46000000000000002,0.5,0.5,0.41999999999999998,0.53000000000000003,0.29999999999999999,0.52000000000000002,0.28999999999999998,0.41000000000000003,0.38
HE pays rent,0.90000000000000002,1,0.90000000000000002,1,0.5,0.57999999999999996,1,1,0.34000000000000002,1,1,0.35000000000000003,0.88,1
HE profits (FCFA),164821.16,23488.34,34977.599999999999,27397.959999999999,44685.720000000001,18626.84,12947.18,17993.670000000002,42552.07,33437.099999999999,20770.130000000001,-50754.230000000003,45558.550000000003,41081.379999999997
HE revenue per worker (FCFA),458977.25,176944.04000000001,58242.809999999998,165000,106433.05,132046.10000000001,,117612.69,547744.92000000004,317521.23999999999,54600,,410260.17999999999,174924.64999999999
HE sells to firms/state,0,0.070000000000000007,0.22,0.11,0.13,0.12,0,0.23000000000000001,0.070000000000000007,0,0.12,0,0,0
HH cultivates agricultural land (superf > 0),0.01,0.28000000000000003,0.68000000000000005,0.76000000000000001,0.51000000000000001,0.54000000000000004,0.65000000000000002,0.47999999999999998,0.52000000000000002,0.32000000000000001,0.67000000000000004,0.66000000000000003,0.28000000000000003,0.34000000000000002
HH employees in HE,0.29999999999999999,0.029999999999999999,0.089999999999999997,0.02,0.080000000000000002,0.17999999999999999,0,0.13,0.10000000000000001,0.12,0.040000000000000001,0,0.10000000000000001,0.25
HH has 0 HE,0.44,0.54000000000000004,0.17000000000000001,0.25,0.57999999999999996,0.16,0.51000000000000001,0.27000000000000002,0.45000000000000001,0.63,0.28999999999999998,0.42999999999999999,0.28999999999999998,0.20000000000000001
