indicator,estimateTotal,estimateCapital,estimateOther_Urban,estimateRural,estimateFemale_HH,estimateMale_HH,estimateYouth_HH,estimateOlder_HH,estimateQ1,estimateQ2,estimateQ3,estimateQ4,estimateQ5
Improved lighting (grid or solar),0.95999999999999996,1,0.96999999999999997,0.95000000000000007,0.95000000000000007,0.96999999999999997,0.97999999999999998,0.95999999999999996,0.94000000000000006,0.95000000000000007,0.97999999999999998,0.96999999999999997,0.97999999999999998
Informal electricity connection (neighbour/pole),0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.02,0.01,0.01,0.02
Main HE owner is female,0.63,0.35999999999999999,0.69000000000000006,0.70000000000000007,0.41999999999999998,0.70000000000000007,0.52000000000000002,0.64000000000000001,0.65000000000000002,0.75,0.55000000000000004,0.63,0.53000000000000003
Main HE owner is married,0.77000000000000002,0.92000000000000004,0.70999999999999996,0.72999999999999998,0.69000000000000006,0.79000000000000004,0.70999999999999996,0.77000000000000002,0.63,0.81000000000000005,0.78000000000000003,0.82000000000000006,0.81000000000000005
Market food share (% total cons.),0.38,0.31,0.41000000000000003,0.41000000000000003,0.39000000000000001,0.38,0.38,0.39000000000000001,0.41999999999999998,0.41000000000000003,0.40000000000000002,0.37,0.33000000000000002
Monthly electricity spend (FCFA),14598.960000000001,10796.67,20241.610000000001,14527.389999999999,14400.73,14669.32,19402.740000000002,14320.24,10795.5,12034.51,13910.01,17793.369999999999,18354.200000000001
Non-HH employees in HE,0.54000000000000004,1.0700000000000001,0.58999999999999997,0.35999999999999999,0.97999999999999998,0.40000000000000002,0.39000000000000001,0.56000000000000005,0.47000000000000003,0.51000000000000001,0.45000000000000001,0.55000000000000004,0.77000000000000002
Non-food consumption share,0.55000000000000004,0.67000000000000004,0.56000000000000005,0.5,0.57999999999999996,0.54000000000000004,0.55000000000000004,0.55000000000000004,0.47000000000000003,0.52000000000000002,0.54000000000000004,0.57999999999999996,0.65000000000000002
Non-wage employed (% of employed),0.70000000000000007,0.5,0.64000000000000001,0.83000000000000007,0.78000000000000003,0.63,0.67000000000000004,0.71999999999999997,0.83999999999999997,0.77000000000000002,0.72999999999999998,0.66000000000000003,0.55000000000000004
Number of employees in HE,1.3100000000000001,1.8100000000000001,1.28,1.0800000000000001,2.0600000000000001,1.0700000000000001,1.4099999999999999,1.3100000000000001,1.21,0.88,1.01,1.9000000000000001,1.55
