indicator,estimateDakar,estimateKaolack_Fatick_Kaffrine,estimateKedougou,estimateSaint_Louis_Matam,estimateThies_Diourbel_Louga,estimateZiguinchor_Tamba_Kolda_S
Owns ceiling fan,0.029999999999999999,0.02,0.070000000000000007,0.029999999999999999,0.059999999999999998,0
Owns wall AC/split,0.02,0,0,0.080000000000000002,0.080000000000000002,0.12
Owns water heater,0.029999999999999999,0,0,0.02,0.050000000000000003,0.02
Poor at $3.00/day (2021 PPP),0,0.28000000000000003,0.35999999999999999,0.20999999999999999,0.13,0.35999999999999999
Poor at $4.20/day (2021 PPP),0.029999999999999999,0.56000000000000005,0.62,0.42999999999999999,0.34000000000000002,0.64000000000000001
Prepaid meter (among grid-connected),0.48999999999999999,0.28000000000000003,0.35000000000000003,0.41000000000000003,0.41000000000000003,0.44
Primary cooking fuel biomass (wood/charcoal),0.26000000000000001,0.19,0.17999999999999999,0.14000000000000001,0.28999999999999998,0.17999999999999999
Primary cooking fuel clean (gas/electricity),0.59999999999999998,0.79000000000000004,0.82000000000000006,0.81000000000000005,0.70999999999999996,0.78000000000000003
Proxy: owns gas/electric cooker (cuisin),0.14000000000000001,0.01,0,0.01,0.01,0.01
Safe drinking water – dry season,0.97999999999999998,0.87,0.77000000000000002,0.89000000000000001,0.78000000000000003,0.47999999999999998
Sanitary toilet facility,0.95000000000000007,0.57000000000000006,0.23999999999999999,0.48999999999999999,0.68000000000000005,0.25
Share of HH workers in trade/commerce,0.22,0.16,0.089999999999999997,0.17999999999999999,0.22,0.12
Share of HH workers in transport,0.070000000000000007,0.040000000000000001,0.040000000000000001,0.040000000000000001,0.070000000000000007,0.050000000000000003
Share of HH workers informally employed,0.47999999999999998,0.82000000000000006,0.75,0.77000000000000002,0.71999999999999997,0.78000000000000003
